Distance_KM,Vehicle_Type,Travel_Days,Fuel_Price,Passengers,Estimated_Cost
427,Mini Bus,9,368,15,117613.6
38,Car,7,414,8,15613.2
333,Mini Bus,1,383,12,86353.9
198,Van,8,393,2,46481.4
212,Car,2,427,1,28512.4
203,SUV,3,415,8,39784.5
471,SUV,4,440,2,82244
483,SUV,6,431,8,88777.3
285,Tuk Tuk,7,363,12,37595.5
131,SUV,7,420,3,29722
252,Car,8,414,8,42592.8
311,Tuk Tuk,7,398,12,40927.8
224,Car,4,403,11,36447.2
345,SUV,4,395,6,62027.5
122,Tuk Tuk,2,424,11,18772.8
301,Van,1,350,8,60685
164,Tuk Tuk,10,398,9,29227.2
176,Car,7,382,5,30303.2
21,Tuk Tuk,3,430,2,5953
188,Mini Bus,7,410,1,52808
179,Car,6,425,11,33427.5
397,Car,10,426,15,66172.2
333,Van,9,450,7,77435
340,SUV,8,380,11,67220
294,Car,1,413,4,38662.2
462,Van,6,422,2,95796.4
165,SUV,4,409,6,33548.5
226,SUV,10,377,5,48140.2
456,Mini Bus,2,426,15,120125.6
132,Van,5,427,5,32936.4
312,Car,1,373,8,41597.6
11,Mini Bus,3,353,4,7588.3
293,Tuk Tuk,1,413,8,31750.9
90,Tuk Tuk,1,389,7,12501
461,Car,8,416,15,71557.6
237,Tuk Tuk,1,398,11,27782.6
310,Car,10,392,6,49952
263,Mini Bus,6,387,13,75278.1
369,SUV,6,413,1,66019.7
429,Mini Bus,9,359,2,111201.1
39,Mini Bus,5,440,15,22016
272,Car,4,367,15,43242.4
40,Mini Bus,1,371,9,14984
54,Tuk Tuk,10,411,9,19419.4
131,Car,8,366,11,28774.6
136,Car,3,434,8,23782.4
290,Mini Bus,8,391,1,77839
465,Tuk Tuk,4,369,1,44908.5
294,Mini Bus,4,428,4,77383.2
440,Van,3,440,11,93860
241,Mini Bus,4,426,11,67966.6
261,Van,9,387,1,58750.7
170,Mini Bus,2,447,14,50599
363,Tuk Tuk,6,388,8,42234.4
425,Car,9,404,1,60670
333,Car,5,368,5,46394.4
149,Mini Bus,9,430,2,46207
206,SUV,5,412,10,43207.2
77,Tuk Tuk,3,434,9,14691.8
167,Car,3,397,14,29989.9
362,Van,6,433,10,80974.6
23,Van,4,441,15,15964.3
269,Mini Bus,10,373,13,80333.7
239,Mini Bus,1,413,5,61170.7
89,Van,9,375,12,31687.5
281,Van,10,393,5,65693.3
346,Car,7,400,5,51020
336,Tuk Tuk,4,421,8,38945.6
356,Car,9,404,4,53862.4
15,SUV,6,375,2,9362.5
293,Van,9,440,13,72342
207,SUV,10,442,3,45489.4
312,Car,5,446,11,49375.2
193,Mini Bus,3,414,13,56090.2
437,SUV,3,411,6,76400.7
408,Mini Bus,3,450,8,106960
235,SUV,3,361,13,46183.5
48,Mini Bus,9,369,1,20871.2
147,SUV,1,379,1,24711.3
334,Mini Bus,7,355,2,86657
307,SUV,5,396,4,55997.2
231,Tuk Tuk,10,401,5,33313.1
57,Van,2,364,4,14624.8
400,Mini Bus,7,436,4,106440
200,SUV,1,432,15,41140
200,Tuk Tuk,2,388,12,25760
163,SUV,1,404,12,33145.2
255,SUV,2,400,9,47300
310,Van,2,421,13,68051
66,Mini Bus,7,358,3,24062.8
157,SUV,6,365,6,33570.5
470,SUV,6,410,3,83170
99,SUV,5,432,15,28656.8
298,Van,6,412,1,63477.6
103,Van,6,391,2,26477.3
271,Tuk Tuk,2,402,4,28444.2
392,Tuk Tuk,7,421,3,44603.2
324,Mini Bus,3,438,9,86491.2
220,SUV,7,448,13,49756
112,Car,2,406,5,18007.2
272,Tuk Tuk,8,377,10,36854.4
204,Tuk Tuk,8,435,12,33074
401,Mini Bus,6,408,14,109560.8
51,Mini Bus,10,436,12,28423.6
233,SUV,3,411,13,47036.3
82,Mini Bus,9,407,11,34237.4
127,Car,10,407,9,29828.9
264,Tuk Tuk,9,403,8,36839.2
433,Tuk Tuk,5,432,8,49355.6
120,SUV,10,442,15,37204
289,SUV,2,450,3,51185
157,Van,8,399,8,41814.3
150,Van,9,353,4,38795
411,SUV,6,403,8,75883.3
143,Tuk Tuk,4,353,11,21697.9
334,Tuk Tuk,2,412,3,33960.8
278,Mini Bus,2,416,15,76664.8
76,Van,7,434,12,27698.4
493,Mini Bus,8,389,2,126777.7
459,SUV,1,365,6,75833.5
419,SUV,2,358,13,73780.2
16,Van,2,364,8,8982.4
388,SUV,8,367,3,70299.6
71,Van,4,378,5,19833.8
319,Tuk Tuk,8,424,6,40475.6
159,Car,8,436,6,30652.4
145,Car,4,419,15,29175.5
163,SUV,3,397,8,33031.1
398,SUV,1,390,13,70782
146,Van,8,402,9,40269.2
148,Tuk Tuk,9,446,13,29500.8
109,SUV,4,415,7,25103.5
243,SUV,8,403,2,47952.9
303,Car,3,413,7,43253.9
309,Tuk Tuk,1,383,3,29784.7
136,Tuk Tuk,5,426,4,19593.6
42,SUV,2,438,8,12879.6
351,Tuk Tuk,3,368,13,39966.8
457,SUV,6,352,1,77426.4
194,Van,10,353,9,50448.2
396,Van,9,404,8,88398.4
310,Car,4,371,3,41801
116,Tuk Tuk,6,380,8,20208
439,Mini Bus,9,429,5,118133.1
255,Tuk Tuk,7,417,11,35883.5
37,Mini Bus,8,411,2,17920.7
323,Car,9,350,1,46645
18,SUV,5,408,5,10394.4
418,Car,8,408,8,62494.4
202,Mini Bus,10,371,11,63394.2
487,Van,6,391,14,105091.7
85,SUV,5,372,9,22862
473,Van,3,438,15,102167.4
24,Mini Bus,2,437,13,14348.8
84,Tuk Tuk,5,387,10,17450.8
486,Van,3,359,3,94847.4
156,Mini Bus,2,382,6,42159.2
151,Mini Bus,1,376,14,43877.6
267,Mini Bus,5,434,1,70487.8
294,Car,5,381,13,46221.4
431,Car,8,403,13,66349.3
95,Car,5,392,5,18824
138,SUV,1,427,5,25952.6
59,SUV,6,366,4,17239.4
267,SUV,3,362,8,48705.4
471,Van,8,429,7,102355.9
271,Car,1,385,15,40613.5
486,Van,6,356,8,100201.6
364,SUV,6,384,4,65657.6
277,Mini Bus,9,415,4,77895.5
266,Tuk Tuk,10,443,11,40583.8
337,Tuk Tuk,8,418,14,45936.6
479,SUV,3,440,3,83056
16,Van,2,359,15,12474.4
494,SUV,5,432,1,86120.8
293,Tuk Tuk,5,399,8,35340.7
122,Car,5,384,2,20444.8
190,Mini Bus,10,441,4,58379
120,Tuk Tuk,3,384,9,18108
249,Car,6,430,8,40627
206,Mini Bus,6,427,14,62996.2
103,Van,3,417,11,28245.1
414,Van,3,436,3,84650.4
36,Tuk Tuk,2,374,4,7146.4
397,Mini Bus,7,374,4,103247.8
361,Van,9,395,10,82409.5
64,Car,9,432,11,22384.8
330,Van,3,352,12,70116
63,Car,10,411,11,23129.3
233,SUV,5,429,3,44455.7
209,SUV,2,353,4,36457.7
224,Mini Bus,4,361,6,59886.4
253,Mini Bus,4,357,11,69132.1
374,Van,9,410,11,85934
131,SUV,2,391,11,28342.1
241,Tuk Tuk,6,357,4,28653.7
201,SUV,10,364,4,43436.4
435,Tuk Tuk,8,444,7,52564
73,Mini Bus,9,404,9,31049.2
399,Tuk Tuk,2,442,11,45085.8
479,Tuk Tuk,1,443,14,53169.7
378,Car,7,428,8,57418.4
265,Car,9,398,1,41247
248,Van,5,411,1,52892.8
105,Mini Bus,1,437,1,27088.5
235,Tuk Tuk,3,435,1,25472.5
319,Mini Bus,7,413,13,90474.7
216,Car,8,416,10,39265.6
81,Mini Bus,9,374,4,30229.4
447,SUV,3,356,7,76053.2
441,Van,4,449,1,90450.9
103,Car,1,353,10,17875.9
110,SUV,5,433,3,24463
384,Mini Bus,2,435,12,101504
484,Tuk Tuk,8,405,1,52302
165,Car,4,371,8,27321.5
422,SUV,5,448,6,77545.6
143,Van,6,387,3,34484.1
19,Car,6,441,9,12857.9
320,Car,7,413,9,50316
318,Tuk Tuk,10,391,7,41833.8
185,Tuk Tuk,2,363,4,19965.5
58,Mini Bus,1,424,10,20059.2
155,Mini Bus,7,396,5,46638
266,Mini Bus,7,430,15,79138
169,Van,5,417,14,44397.3
498,SUV,10,440,1,92172
103,Mini Bus,5,382,14,36534.6
373,Mini Bus,6,409,12,101855.7
342,Car,5,397,1,46437.4
88,Mini Bus,6,365,7,30312
197,Van,10,434,14,55099.8
129,Tuk Tuk,10,375,15,28787.5
28,SUV,3,400,12,13480
171,Car,7,357,6,29784.7
335,Van,8,388,3,72748
108,SUV,9,422,2,27517.6
377,Mini Bus,10,399,12,106442.3
425,Mini Bus,10,362,1,110885
262,Van,9,362,7,61284.4
186,Tuk Tuk,9,378,1,25830.8
154,Van,3,379,3,33436.6
360,SUV,2,360,12,64160
398,Tuk Tuk,5,389,7,43882.2
325,SUV,6,430,3,60475
148,Car,6,443,14,31396.4
159,Car,2,430,15,29057
68,SUV,10,389,11,26305.2
404,Van,7,412,15,91744.8
176,Van,9,426,14,49897.6
380,Mini Bus,3,424,3,96612
94,Mini Bus,7,449,15,37520.6
490,Car,2,356,3,60144
118,Tuk Tuk,4,410,11,20238
207,Car,4,411,7,32567.7
455,SUV,8,382,12,85981
478,Car,10,404,1,68051.2
246,Tuk Tuk,1,357,3,23582.2
263,Tuk Tuk,10,371,3,34407.3
309,Van,3,401,4,63740.9
66,SUV,4,439,6,17817.4
442,Mini Bus,10,393,4,117770.6
392,Mini Bus,9,360,7,105012
436,Car,8,359,15,66032.4
248,Car,10,441,11,46276.8
340,Tuk Tuk,7,437,5,41358
439,SUV,10,374,6,82098.6
221,Van,3,368,7,47782.8
254,SUV,3,444,6,47757.6
57,Tuk Tuk,8,427,1,13783.9
252,Van,2,366,4,51023.2
219,Mini Bus,3,417,5,58432.3
440,Mini Bus,10,360,13,120340
302,Car,6,356,9,45411.2
455,Tuk Tuk,4,393,14,51631.5
28,Car,9,449,14,19497.2
138,Van,4,374,8,33861.2
401,Mini Bus,2,392,8,101919.2
339,Van,10,353,14,79816.7
102,Tuk Tuk,1,414,10,15322.8
300,SUV,6,427,13,61310
216,Tuk Tuk,3,382,10,27051.2
64,SUV,5,429,1,15925.6
22,SUV,5,442,10,13612.4
20,SUV,7,358,11,15616
37,Van,8,359,5,17378.3
30,Tuk Tuk,2,415,1,5245
64,SUV,9,388,12,25163.2
63,Van,10,358,7,25205.4
184,Van,7,438,9,47159.2
208,Mini Bus,2,375,14,58400
239,Van,2,354,10,51310.6
372,Mini Bus,10,415,14,106838
143,SUV,3,413,11,31565.9
252,Mini Bus,7,389,8,71202.8
226,Tuk Tuk,1,375,1,21275
285,Van,10,367,7,66709.5
147,SUV,3,410,3,28167
497,Van,10,418,3,106824.6
462,Mini Bus,7,448,10,125097.6
272,Tuk Tuk,1,428,11,31741.6
96,Car,3,359,11,19626.4
94,Car,3,413,8,18402.2
488,Mini Bus,7,380,6,126144
457,Van,1,390,9,91873
59,Van,4,404,9,19733.6
99,Tuk Tuk,10,403,12,24939.7
382,SUV,10,371,7,73512.2
398,Van,10,445,3,88911
61,Van,5,360,6,19346
351,Mini Bus,6,371,9,93722.1
256,Tuk Tuk,3,361,3,26541.6
277,Car,5,357,1,37548.9
214,Van,9,373,10,54082.2
348,Car,3,395,14,51586
139,Car,1,350,8,20985
265,Tuk Tuk,1,448,6,29122
113,SUV,3,373,12,26774.9
238,Tuk Tuk,6,441,3,29895.8
162,Mini Bus,9,362,2,48264.4
445,Mini Bus,6,408,1,113656
169,Tuk Tuk,3,378,5,20338.2
345,SUV,9,424,10,70028
89,SUV,1,390,5,17651
19,Car,2,367,11,9717.3
88,Van,8,395,14,31676
287,Van,10,361,1,63910.7
214,SUV,5,447,8,44245.8
464,Mini Bus,6,428,3,120159.2
87,SUV,8,405,10,26963.5
42,Van,8,385,7,19417
176,Tuk Tuk,6,352,10,25995.2
308,Car,8,450,6,49500
73,Van,5,374,4,20680.2
18,Van,6,435,2,10483
403,Mini Bus,4,394,7,103978.2
335,SUV,6,444,14,68074
123,Tuk Tuk,9,390,15,27447
283,Mini Bus,4,447,8,77250.1
177,Mini Bus,2,437,5,47634.9
61,Car,8,398,14,22307.8
353,Van,8,432,8,80199.6
177,SUV,9,414,8,41567.8
495,Car,5,407,6,67746.5
161,Tuk Tuk,9,416,14,30747.6
186,SUV,10,396,8,43685.6
442,Mini Bus,8,373,1,113386.6
237,Mini Bus,8,370,6,67169
162,SUV,6,416,9,36679.2
99,Car,9,394,8,24820.6
277,Car,10,403,4,45323.1
355,Car,3,422,2,47381
204,Mini Bus,5,426,12,60490.4
306,Van,2,362,14,65977.2
253,SUV,8,442,11,55042.6
229,Car,6,385,7,36636.5
411,Tuk Tuk,1,448,14,46962.8
